sp_id;correct_name;family;genus;taxon_rank;habit;wood_dens_gcm3;max_height_m;seed_size_g;disp_mode;eco_group;obs
Bathysa australis;Bathysa australis;Rubiaceae;Bathysa;species;tree;0.428467257;17;0.0000849;autochoric;2;
Bauhinia forficata;Bauhinia forficata;Fabaceae;Bauhinia;species;tree;0.63;16;0.127521758;autochoric;1;
Bauhinia glaziovii;Bauhinia glaziovii;Fabaceae;Bauhinia;species;shrub;0.715454545;NA;0.196853101;autochoric;NA;
Bauhinia longifolia;Bauhinia longifolia;Fabaceae;Bauhinia;species;tree;0.707;18;0.094339623;autochoric;2;
Bauhinia melastomatoidea;Bauhinia melastomatoidea;Fabaceae;Bauhinia;genus;NA;0.715454545;NA;0.196853101;autochoric;NA;
Bauhinia sp.;Bauhinia sp.;Fabaceae;Bauhinia;NA;NA;NA;NA;NA;autochoric;NA;
Bauhinia sp.1;Bauhinia sp.;Fabaceae;Bauhinia;NA;NA;NA;NA;NA;autochoric;NA;
Bicuiba oleifera;Bicuiba oleifera;Fabaceae;Bicuiba;genus;tree;0.68965031;NA;NA;zoochoric;NA;
Bidens pilosa;Bidens pilosa;Asteraceae;Bidens;species;NA;0.530140648;0;0.002;anemochoric|autochoric;NA;also epizoochoric
Bignonia sciuripabula;Bignonia sciuripabula;Bignoniaceae;Bignonia;species;NA;0.700749342;NA;0.0905;anemochoric;NA;
Bignoniaceae sp.;Bignoniaceae sp.;Bignoniaceae;Bignoniaceae;NA;NA;NA;NA;NA;NA;NA;
Bignoniaceae sp.1;Bignoniaceae sp.;Bignoniaceae;Bignoniaceae;NA;NA;NA;NA;NA;NA;NA;
Bignoniaceae sp.2;Bignoniaceae sp.;Bignoniaceae;Bignoniaceae;NA;NA;NA;NA;NA;NA;NA;
Bignoniaceae sp.3;Bignoniaceae sp.;Bignoniaceae;Bignoniaceae;NA;NA;NA;NA;NA;NA;NA;
Bignoniaceae sp.4;Bignoniaceae sp.;Bignoniaceae;Bignoniaceae;NA;NA;NA;NA;NA;NA;NA;
Bignoniaceae sp.5;Bignoniaceae sp.;Bignoniaceae;Bignoniaceae;NA;NA;NA;NA;NA;NA;NA;
Bignoniaceae sp.6;Bignoniaceae sp.;Bignoniaceae;Bignoniaceae;NA;NA;NA;NA;NA;NA;NA;
Blepharocalyx salicifolius;Blepharocalyx salicifolius;Myrtaceae;Blepharocalyx;species;tree;0.726545455;20;0.025481486;zoochoric;3;
